,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data,trial_index,arm_name,trial_status,generation_method,Objective,B,Sc,Cr,Y,Zr,Gd,Hf,Ta,W,Re,Function
47,0_bb,2,7.0,8,[123.8089980191226],123.8089980191226,127.23817967487085,,,,,,,,,,,,,,,,,
48,0_bb,2,8.0,9,[127.64440554317409],127.64440554317409,127.64440554317409,,,,,,,,,,,,,,,,,
49,0_bb,2,9.0,10,[123.14024426243438],123.14024426243438,127.64440554317409,,,,,,,,,,,,,,,,,
50,0_bb,2,10.0,11,[122.9576937349564],122.9576937349564,127.64440554317409,,,,,,,,,,,,,,,,,
51,0_bb,2,11.0,12,[133.96956615054],133.96956615054,133.96956615054,,,,,,,,,,,,,,,,,
52,0_bb,2,12.0,13,[127.73307155344756],127.73307155344756,133.96956615054,,,,,,,,,,,,,,,,,
53,0_bb,2,13.0,14,[150.79684372186182],150.79684372186182,150.79684372186182,,,,,,,,,,,,,,,,,
54,0_bb,2,14.0,15,[121.70683253959652],121.70683253959652,150.79684372186182,,,,,,,,,,,,,,,,,
55,0_bb,2,15.0,16,[139.8889943859047],139.8889943859047,150.79684372186182,,,,,,,,,,,,,,,,,
56,0_bb,2,16.0,17,[137.6825662628294],137.6825662628294,150.79684372186182,,,,,,,,,,,,,,,,,
57,0_bb,2,17.0,18,[146.14990683524644],146.14990683524644,150.79684372186182,,,,,,,,,,,,,,,,,
58,0_bb,2,18.0,19,[148.38798148885505],148.38798148885505,150.79684372186182,,,,,,,,,,,,,,,,,
59,0_bb,2,19.0,20,[157.2601275502924],157.2601275502924,157.2601275502924,,,,,,,,,,,,,,,,,
60,0_bb,3,0.0,1,[144.96028373864337],144.96028373864337,144.96028373864337,,,,,,,,,,,,,,,,,
61,0_bb,3,1.0,2,[113.43623595623639],113.43623595623639,144.96028373864337,,,,,,,,,,,,,,,,,
62,0_bb,3,2.0,3,[158.10035989792027],158.10035989792027,158.10035989792027,,,,,,,,,,,,,,,,,
63,0_bb,3,3.0,4,[120.2816580285045],120.2816580285045,158.10035989792027,,,,,,,,,,,,,,,,,
64,0_bb,3,4.0,5,[156.29592045921626],156.29592045921626,158.10035989792027,,,,,,,,,,,,,,,,,
65,0_bb,3,5.0,6,[151.04621599946466],151.04621599946466,158.10035989792027,,,,,,,,,,,,,,,,,
66,0_bb,3,6.0,7,[158.1333799161532],158.1333799161532,158.1333799161532,,,,,,,,,,,,,,,,,
67,0_bb,3,7.0,8,[157.3709982220219],157.3709982220219,158.1333799161532,,,,,,,,,,,,,,,,,
68,0_bb,3,8.0,9,[155.4607999734539],155.4607999734539,158.1333799161532,,,,,,,,,,,,,,,,,
69,0_bb,3,9.0,10,[162.45242842752012],162.45242842752012,162.45242842752012,,,,,,,,,,,,,,,,,
70,0_bb,3,10.0,11,[135.00685581032218],135.00685581032218,162.45242842752012,,,,,,,,,,,,,,,,,
71,0_bb,3,11.0,12,[153.76270622403183],153.76270622403183,162.45242842752012,,,,,,,,,,,,,,,,,
72,0_bb,3,12.0,13,[152.22068911320298],152.22068911320298,162.45242842752012,,,,,,,,,,,,,,,,,
73,0_bb,3,13.0,14,[172.9382536276803],172.9382536276803,172.9382536276803,,,,,,,,,,,,,,,,,
74,0_bb,3,14.0,15,[163.68216005041552],163.68216005041552,172.9382536276803,,,,,,,,,,,,,,,,,
75,0_bb,3,15.0,16,[166.22193370353094],166.22193370353094,172.9382536276803,,,,,,,,,,,,,,,,,
76,0_bb,3,16.0,17,[172.10145777143768],172.10145777143768,172.9382536276803,,,,,,,,,,,,,,,,,
77,0_bb,3,17.0,18,[146.76694916719543],146.76694916719543,172.9382536276803,,,,,,,,,,,,,,,,,
78,0_bb,3,18.0,19,[164.95783085754786],164.95783085754786,172.9382536276803,,,,,,,,,,,,,,,,,
