,trial_index,arm_name,trial_status,generation_method,Objective,B,Sc,Cr,Y,Zr,Gd,Hf,Ta,W,Re,Function,Num_Experiments,Monte_Carlo_Run,Number of data used,Target_CumBest
14,14,14_0,COMPLETED,Manual,144.96028373864337,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1399999999999999,0.0,targetFunction,13,4,0,162.45242842752012
15,15,11_0,COMPLETED,Manual,162.45242842752012,0.8,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.16,0.0,targetFunction,14,4,0,162.45242842752012
16,16,11_0,COMPLETED,Manual,162.45242842752012,0.8,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.16,0.0,targetFunction,15,4,0,162.45242842752012
17,17,11_0,COMPLETED,Manual,162.45242842752012,0.8,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.16,0.0,targetFunction,16,4,0,162.45242842752012
18,18,11_0,COMPLETED,Manual,162.45242842752012,0.8,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.16,0.0,targetFunction,17,4,0,162.45242842752012
19,19,19_0,COMPLETED,Manual,122.0447716941213,0.6666666666666666,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,targetFunction,18,4,0,162.45242842752012
20,20,11_0,COMPLETED,Manual,162.45242842752012,0.8,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.16,0.0,targetFunction,19,4,0,162.45242842752012
21,21,21_0,COMPLETED,Manual,146.76694916719543,0.8,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.18,0.0,targetFunction,20,4,0,162.45242842752012
4,4,4_0,COMPLETED,Manual,150.35400489203658,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.1999999999999999,targetFunction,1,0,2,150.35400489203658
5,5,5_0,COMPLETED,Manual,106.22927448999997,0.6774193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.0,targetFunction,2,0,2,150.35400489203658
6,6,4_0,COMPLETED,Manual,150.35400489203658,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.1999999999999999,targetFunction,3,0,2,150.35400489203658
7,7,7_0,COMPLETED,Manual,141.23533652070077,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,targetFunction,4,0,2,150.35400489203658
8,8,8_0,COMPLETED,Manual,158.1333799161532,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,targetFunction,5,0,2,158.1333799161532
9,9,8_0,COMPLETED,Manual,158.1333799161532,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,targetFunction,6,0,2,158.1333799161532
10,10,8_0,COMPLETED,Manual,158.1333799161532,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,targetFunction,7,0,2,158.1333799161532
11,11,8_0,COMPLETED,Manual,158.1333799161532,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,targetFunction,8,0,2,158.1333799161532
12,12,8_0,COMPLETED,Manual,158.1333799161532,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,targetFunction,9,0,2,158.1333799161532
13,13,13_0,COMPLETED,Manual,157.3709982220219,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,targetFunction,10,0,2,158.1333799161532
